host,virus,longitude,latitude,n_tested,n_positive,prevalence
Apodemus agrarius,Orthohantavirus hantanense,126.452542712885,36.782920951256,42,4,0.09523809523809523
Apodemus agrarius,Orthohantavirus hantanense,126.53,33.38,54,6,0.1111111111111111
Apodemus agrarius,Orthohantavirus hantanense,126.7025,37.2192,106,38,0.3584905660377358
Apodemus agrarius,Orthohantavirus hantanense,126.776693519016,37.7590190472741,101,26,0.25742574257425743
Apodemus agrarius,Orthohantavirus hantanense,126.777720861755,37.7602081570148,8,0,0
Apodemus agrarius,Orthohantavirus hantanense,126.7778,37.7596,7,0,0
Apodemus agrarius,Orthohantavirus hantanense,126.784095565122,37.4408251941258,16,0,0
Apodemus agrarius,Orthohantavirus hantanense,126.794,35.1347,23,5,0.21739130434782608
Apodemus agrarius,Orthohantavirus hantanense,126.833362833606,36.708826907126,22,4,0.18181818181818182
Apodemus agrarius,Orthohantavirus hantanense,126.835792433154,36.6991615514079,226,26,0.11504424778761062
Apodemus agrarius,Orthohantavirus hantanense,126.8358,37.0692,76,14,0.18421052631578946
Apodemus agrarius,Orthohantavirus hantanense,126.845,36.679,107,25,0.2336448598130841
Apodemus agrarius,Orthohantavirus hantanense,126.8486,35.1653,1024,41,0.0400390625
Apodemus agrarius,Orthohantavirus hantanense,126.85006,37.978308,1710,381,0.22280701754385965
Apodemus agrarius,Orthohantavirus hantanense,126.8525,36.994,41,0,0
Apodemus agrarius,Orthohantavirus hantanense,126.901068673171,37.1841295149966,420,76,0.18095238095238095
Apodemus agrarius,Orthohantavirus hantanense,126.91,35.17,16,2,0.125
Apodemus agrarius,Orthohantavirus hantanense,126.9273,37.8692,24,1,0.041666666666666664
Apodemus agrarius,Orthohantavirus hantanense,126.9306,37.9147,58,9,0.15517241379310345
Apodemus agrarius,Orthohantavirus hantanense,126.983782,37.922854,850,122,0.14352941176470588
Apodemus agrarius,Orthohantavirus hantanense,127.029707949417,36.800068480894,3,2,0.6666666666666666
Apodemus agrarius,Orthohantavirus hantanense,127.053630295793,37.5180057569167,36,6,0.16666666666666666
Apodemus agrarius,Orthohantavirus hantanense,127.0688,38.0237,53,7,0.1320754716981132
Apodemus agrarius,Orthohantavirus hantanense,127.069804955727,38.0257173638773,211,41,0.1943127962085308
Apodemus agrarius,Orthohantavirus hantanense,127.072180885827,38.0230838105484,39,13,0.3333333333333333
Apodemus agrarius,Orthohantavirus hantanense,127.07705,38.11002,520,121,0.2326923076923077
Apodemus agrarius,Orthohantavirus hantanense,127.08,38.1,1167,215,0.1842330762639246
Apodemus agrarius,Orthohantavirus hantanense,127.1056,38.1668,34,8,0.23529411764705882
Apodemus agrarius,Orthohantavirus hantanense,127.1069191,38.051592,647,94,0.14528593508500773
Apodemus agrarius,Orthohantavirus hantanense,127.11,36.99,1812,39,0.02152317880794702
Apodemus agrarius,Orthohantavirus hantanense,127.11719455024,36.4821541574324,3,0,0
Apodemus agrarius,Orthohantavirus hantanense,127.131222878429,35.8442043117436,158,2,0.012658227848101266
Apodemus agrarius,Orthohantavirus hantanense,127.15,35.817,56,2,0.03571428571428571
Apodemus agrarius,Orthohantavirus hantanense,127.202452754692,37.9108405306045,40,8,0.2
Apodemus agrarius,Orthohantavirus hantanense,127.2041,37.8983,19,2,0.10526315789473684
